med_group,concept_id
ICS,904331
ICS,904332
ICS,904333
ICS,904385
ICS,904392
ICS,904395
ICS,904427
ICS,904436
ICS,904509
ICS,920796
ICS,920798
ICS,920800
ICS,920823
ICS,920824
ICS,920825
ICS,920826
ICS,920831
ICS,920868
ICS,920869
ICS,920870
ICS,920871
ICS,920915
ICS,1115673
ICS,1592208
ICS,1592698
ICS,1592700
ICS,1593607
ICS,1594236
ICS,1594238
ICS,1594365
ICS,1594369
ICS,1594384
ICS,1594386
ICS,1594388
ICS,1594414
ICS,1594496
ICS,19016533
ICS,19021121
ICS,19023533
ICS,19031961
ICS,19032638
ICS,19038814
ICS,19045921
ICS,19047753
ICS,19052715
ICS,19053595
ICS,19056328
ICS,19056330
ICS,19056414
ICS,19056451
ICS,19058164
ICS,19060779
ICS,19062339
ICS,19062371
ICS,19062372
ICS,19062373
ICS,19064076
ICS,19072647
ICS,19072837
ICS,19072839
ICS,19080745
ICS,19082356
ICS,19084748
ICS,19084825
ICS,19089689
ICS,19091880
ICS,19093625
ICS,19093724
ICS,19095979
ICS,19097852
ICS,19108591
ICS,19108592
ICS,19108994
ICS,19109114
ICS,19109785
ICS,19109794
ICS,19114213
ICS,19115554
ICS,19115555
ICS,19115591
ICS,19115592
ICS,19115593
ICS,19115594
ICS,19116153
ICS,19117741
ICS,19118641
ICS,19120343
ICS,19120353
ICS,19121384
ICS,19122653
ICS,19124041
ICS,21023076
ICS,21030801
ICS,21040512
ICS,21040513
ICS,21040671
ICS,21060272
ICS,21065310
ICS,21070229
ICS,21070231
ICS,21070602
ICS,21079940
ICS,21084958
ICS,21089658
ICS,21099553
ICS,21114406
ICS,21114410
ICS,21119098
ICS,21119101
ICS,21123774
ICS,21128885
ICS,21129284
ICS,21138781
ICS,21139131
ICS,21148476
ICS,21148634
ICS,21153491
ICS,21168211
ICS,35410365
ICS,35602969
ICS,35602973
ICS,35604712
ICS,35604770
ICS,35604773
ICS,35604854
ICS,35604856
ICS,35605361
ICS,35762013
ICS,36212006
ICS,36212007
ICS,36212125
ICS,36212126
ICS,36212132
ICS,36212133
ICS,36212134
ICS,36212136
ICS,36212139
ICS,36212140
ICS,36212141
ICS,36212142
ICS,36212148
ICS,36212149
ICS,36212150
ICS,36212151
ICS,36212153
ICS,36212154
ICS,36212155
ICS,36212157
ICS,36217837
ICS,36217838
ICS,36218845
ICS,36220933
ICS,36220934
ICS,36222080
ICS,36222419
ICS,36222420
ICS,36222421
ICS,36222422
ICS,36222423
ICS,36222429
ICS,36222452
ICS,36223168
ICS,36223169
ICS,36223170
ICS,36223172
ICS,36223383
ICS,36225304
ICS,36229130
ICS,36229136
ICS,36229567
ICS,36230201
ICS,36230210
ICS,36231066
ICS,36231067
ICS,36231211
ICS,36231213
ICS,36231547
ICS,36231646
ICS,36231647
ICS,36232123
ICS,36232779
ICS,36233621
ICS,36233622
ICS,36233624
ICS,36233795
ICS,36233799
ICS,36234103
ICS,36234399
ICS,36234400
ICS,36234401
ICS,36234403
ICS,36234404
ICS,36234405
ICS,36234674
ICS,36234745
ICS,36234834
ICS,36234835
ICS,36235057
ICS,36235058
ICS,36235971
ICS,36236664
ICS,36236665
ICS,36236666
ICS,36236667
ICS,36236778
ICS,36236788
ICS,36236789
ICS,36236790
ICS,36237599
ICS,36238499
ICS,36238663
ICS,36239207
ICS,36239324
ICS,36239689
ICS,36240216
ICS,36240251
ICS,36240559
ICS,36241140
ICS,36241141
ICS,36241513
ICS,36241515
ICS,36241599
ICS,36242077
ICS,36242078
ICS,36242079
ICS,36242774
ICS,36243387
ICS,36243934
ICS,36243960
ICS,36244614
ICS,36245178
ICS,36245778
ICS,36246491
ICS,36246492
ICS,36246609
ICS,36246610
ICS,36248251
ICS,36248464
ICS,36249727
ICS,36249728
ICS,36879660
ICS,36879661
ICS,36879794
ICS,36880771
ICS,36880772
ICS,36881607
ICS,36881620
ICS,36881738
ICS,36881746
ICS,36882535
ICS,36882678
ICS,36883542
ICS,36883620
ICS,36884459
ICS,36884571
ICS,36886395
ICS,36886519
ICS,36888309
ICS,36888333
ICS,36888335
