med_group,concept_id
Systemic glucocorticoids,36220741
Systemic glucocorticoids,36220742
Systemic glucocorticoids,36220743
Systemic glucocorticoids,36220744
Systemic glucocorticoids,36220745
Systemic glucocorticoids,36220746
Systemic glucocorticoids,36220749
Systemic glucocorticoids,36220751
Systemic glucocorticoids,36220753
Systemic glucocorticoids,36220755
Systemic glucocorticoids,36220756
Systemic glucocorticoids,36220758
Systemic glucocorticoids,36220759
Systemic glucocorticoids,36220760
Systemic glucocorticoids,36220762
Systemic glucocorticoids,36220763
Systemic glucocorticoids,36220764
Systemic glucocorticoids,36220765
Systemic glucocorticoids,36220766
Systemic glucocorticoids,36220767
Systemic glucocorticoids,36220768
Systemic glucocorticoids,36220769
Systemic glucocorticoids,36220772
Systemic glucocorticoids,36220902
Systemic glucocorticoids,36220903
Systemic glucocorticoids,36220904
Systemic glucocorticoids,36220908
Systemic glucocorticoids,36221046
Systemic glucocorticoids,36223381
Systemic glucocorticoids,36223471
Systemic glucocorticoids,36223585
Systemic glucocorticoids,36223586
Systemic glucocorticoids,36224605
Systemic glucocorticoids,36224770
Systemic glucocorticoids,36224771
Systemic glucocorticoids,36224772
Systemic glucocorticoids,36224787
Systemic glucocorticoids,36225085
Systemic glucocorticoids,36225740
Systemic glucocorticoids,36226026
Systemic glucocorticoids,36226027
Systemic glucocorticoids,36226265
Systemic glucocorticoids,36226357
Systemic glucocorticoids,36226366
Systemic glucocorticoids,36226924
Systemic glucocorticoids,36227374
Systemic glucocorticoids,36227515
Systemic glucocorticoids,36227516
Systemic glucocorticoids,36238214
Systemic glucocorticoids,36246233
Systemic glucocorticoids,36246277
Systemic glucocorticoids,36247248
Systemic glucocorticoids,36248836
Systemic glucocorticoids,36248880
Systemic glucocorticoids,36248883
Systemic glucocorticoids,36248960
Systemic glucocorticoids,36897938
Systemic glucocorticoids,40228850
Systemic glucocorticoids,40228851
Systemic glucocorticoids,40244490
Systemic glucocorticoids,42731729
Systemic glucocorticoids,43869247
Systemic glucocorticoids,46275458
Xanthines,36213788
Xanthines,36218053
ICS,792483
ICS,36212125
ICS,36212126
ICS,36212132
ICS,36212133
ICS,36212134
ICS,36212136
ICS,36212139
ICS,36212140
ICS,36212141
ICS,36212142
ICS,36212148
ICS,36212149
ICS,36212150
ICS,36213519
ICS,36218673
ICS,36220577
ICS,36220586
ICS,36225304
ICS,36245891
ICS,36246367
ICS,36897612
ICS,36897613
ICS,36897614
ICS,36897615
ICS,36897976
ICS,36897977
ICS,36897978
ICS,36897979
ICS,36898126
ICS,36898127
ICS,36898128
ICS,36898129
ICS,42731565
ICS,42731618
ICS,43045403
ICS,43045404
ICS,43869051
ICS,43869173
ICS,43869529
ICS,43869865
LABA,792483
LABA,1366367
LABA,1366371
LABA,21080584
LABA,36213519
LABA,36217473
LABA,36217474
LABA,36217475
LABA,36220577
LABA,36220586
LABA,36246367
LABA,36247872
LABA,36248746
LABA,36897612
LABA,36897613
LABA,36897614
LABA,36897615
LABA,36897976
LABA,36897977
LABA,36897978
LABA,36897979
LABA,36898126
LABA,36898127
LABA,36898128
LABA,36898129
LABA,37497328
LABA,42481318
LABA,42731565
LABA,42731618
LABA,43045403
LABA,43045404
LABA,43869051
LABA,43869173
LABA,43869529
LABA,43869865
LABA,44094568
LABA,44108666
LAMA,792483
LAMA,1366365
LAMA,1366367
LAMA,1366369
LAMA,1366371
LAMA,1366372
LAMA,36247872
LAMA,36248746
LAMA,37497328
SABA,36213198
SABA,36213199
SABA,36213200
SABA,36214218
SABA,36214219
SABA,36214222
SABA,36215321
SABA,36215322
SABA,36215519
SABA,36215520
SABA,36215521
SABA,36219299
SABA,36219300
SABA,36226210
SABA,36226211
SABA,36226690
SABA,36226691
SABA,36226692
SAMA,36215322
Systemic glucocorticoids,1594689
Systemic glucocorticoids,36211907
Systemic glucocorticoids,36211908
Systemic glucocorticoids,36212125
Systemic glucocorticoids,36212126
Systemic glucocorticoids,36212132
Systemic glucocorticoids,36212133
Systemic glucocorticoids,36212134
Systemic glucocorticoids,36212136
Systemic glucocorticoids,36212139
Systemic glucocorticoids,36212140
Systemic glucocorticoids,36212141
Systemic glucocorticoids,36212142
Systemic glucocorticoids,36212148
Systemic glucocorticoids,36212149
Systemic glucocorticoids,36212150
Systemic glucocorticoids,36212755
Systemic glucocorticoids,36212759
Systemic glucocorticoids,36212937
Systemic glucocorticoids,36213171
Systemic glucocorticoids,36213172
Systemic glucocorticoids,36213173
Systemic glucocorticoids,36213833
Systemic glucocorticoids,36213834
Systemic glucocorticoids,36213835
Systemic glucocorticoids,36213936
Systemic glucocorticoids,36213937
Systemic glucocorticoids,36213938
Systemic glucocorticoids,36213939
Systemic glucocorticoids,36213940
Systemic glucocorticoids,36213942
Systemic glucocorticoids,36213946
Systemic glucocorticoids,36213947
Systemic glucocorticoids,36213948
Systemic glucocorticoids,36213949
Systemic glucocorticoids,36213950
Systemic glucocorticoids,36213951
Systemic glucocorticoids,36214261
Systemic glucocorticoids,36214279
Systemic glucocorticoids,36215046
Systemic glucocorticoids,36215047
Systemic glucocorticoids,36215048
Systemic glucocorticoids,36215049
Systemic glucocorticoids,36215510
Systemic glucocorticoids,36216343
Systemic glucocorticoids,36216344
Systemic glucocorticoids,36216745
Systemic glucocorticoids,36216760
Systemic glucocorticoids,36218027
Systemic glucocorticoids,36218028
Systemic glucocorticoids,36218029
Systemic glucocorticoids,36218030
Systemic glucocorticoids,36218218
Systemic glucocorticoids,36218219
Systemic glucocorticoids,36218220
Systemic glucocorticoids,36218386
Systemic glucocorticoids,36218430
Systemic glucocorticoids,36218673
Systemic glucocorticoids,36220740
Systemic glucocorticoids,36220747
Systemic glucocorticoids,36220748
Systemic glucocorticoids,36220754
Systemic glucocorticoids,36220757
Systemic glucocorticoids,36220761
Systemic glucocorticoids,36220771
Systemic glucocorticoids,36220905
Systemic glucocorticoids,36220906
Systemic glucocorticoids,36220907
Systemic glucocorticoids,36223094
Systemic glucocorticoids,36223095
Systemic glucocorticoids,36223998
Systemic glucocorticoids,36224683
Systemic glucocorticoids,36224786
Systemic glucocorticoids,36224998
Systemic glucocorticoids,36225304
Systemic glucocorticoids,36227293
Systemic glucocorticoids,36227294
Systemic glucocorticoids,36227295
Systemic glucocorticoids,36247110
Systemic glucocorticoids,36247249
Systemic glucocorticoids,36247278
Systemic glucocorticoids,36248632
Systemic glucocorticoids,36248961
Systemic glucocorticoids,36897923
Systemic glucocorticoids,42543955
Systemic glucocorticoids,42708540
Systemic glucocorticoids,42708546
Systemic glucocorticoids,42731663
Systemic glucocorticoids,43011915
Systemic glucocorticoids,43011916
Systemic glucocorticoids,43011920
Systemic glucocorticoids,43011921
Systemic glucocorticoids,43011922
Systemic glucocorticoids,43011923
Systemic glucocorticoids,43870360
Xanthines,36212804
Xanthines,36212805
Xanthines,36212819
Xanthines,36212820
Xanthines,36213782
Xanthines,36213783
Xanthines,36213786
Xanthines,36213787
Xanthines,36213950
Xanthines,36213951
Xanthines,36214252
Xanthines,36214253
Xanthines,36214447
Xanthines,36215186
Xanthines,36215519
Xanthines,36215520
Xanthines,36215521
Xanthines,36215797
Xanthines,36215798
Xanthines,36216865
Xanthines,36216866
Xanthines,36216867
Xanthines,36216868
Xanthines,36216869
Xanthines,36216870
Xanthines,36216871
Xanthines,36216872
Xanthines,36216873
Xanthines,36216874
Xanthines,36216875
Xanthines,36216876
Xanthines,36216939
Xanthines,36216940
Xanthines,36216941
Xanthines,36216942
Xanthines,36216943
Xanthines,36216944
Xanthines,36216945
Xanthines,36216946
Xanthines,36216947
Xanthines,36216948
Xanthines,36216949
Xanthines,36217478
Xanthines,36217479
